user_id,device_type,platform_id,video_id,session_id,filename,coach_carter_score,oscars_slap_score,trump_ukraine_score,max_score,likely_video,engagement_level,passes_threshold,text_preview,processing_time,user_type
019bfef500435f7b6cb714ea03ffd687,desktop,1,1,1,1_1_1_019bfef500435f7b6cb714ea03ffd687.txt,90,0,0,90,Coach Carter,HIGH,True,"The Coach Carter movie clip shows Coach Carter motivating his team to uphold discipline, focus on ac",0.7511329650878906,complete
019bfef500435f7b6cb714ea03ffd687,desktop,1,1,2,1_1_2_019bfef500435f7b6cb714ea03ffd687.txt,80,0,0,80,Coach Carter,HIGH,True,"The Coach Carter movie clip shows Coach Carter emphasizing the importance of setting goals, staying ",1.0908379554748535,complete
019bfef500435f7b6cb714ea03ffd687,desktop,1,2,1,1_2_1_019bfef500435f7b6cb714ea03ffd687.txt,0,70,0,70,Oscars Slap,MODERATE,True,The Oscar Slap Clip shows Will Smith hitting Chris Rock on stage at the 2022 Oscars after a joke abo,0.7050056457519531,complete
019bfef500435f7b6cb714ea03ffd687,desktop,1,2,2,1_2_2_019bfef500435f7b6cb714ea03ffd687.txt,0,80,0,80,Oscars Slap,HIGH,True,The Oscar Slap Clip shows Will Smith slapping Chris Rock on stage during the 2022 Oscars after a jok,0.7802259922027588,complete
019bfef500435f7b6cb714ea03ffd687,desktop,1,3,1,1_3_1_019bfef500435f7b6cb714ea03ffd687.txt,0,0,60,60,Trump-Ukraine Meeting,MODERATE,True,The clip shows former President Trump and author Vance meeting with Ukrainian President Zelenskyy in,0.7464430332183838,complete
019bfef500435f7b6cb714ea03ffd687,desktop,1,3,2,1_3_2_019bfef500435f7b6cb714ea03ffd687.txt,0,0,60,60,Trump-Ukraine Meeting,MODERATE,True,The clip shows former President Trump and author Vance meeting with Ukrainian President Zelenskyy in,0.8894929885864258,complete
019bfef500435f7b6cb714ea03ffd687,desktop,2,1,1,2_1_1_019bfef500435f7b6cb714ea03ffd687.txt,90,0,0,90,Coach Carter,HIGH,True,The Coach Carter movie clip shows Coach Carter guiding his team to understand the value of hard work,0.7789921760559082,complete
019bfef500435f7b6cb714ea03ffd687,desktop,2,1,2,2_1_2_019bfef500435f7b6cb714ea03ffd687.txt,85,0,0,85,Coach Carter,HIGH,True,The Coach Carter movie clip shows Coach Carter motivating his basketball team to improve their work ,0.9755809307098389,complete
019bfef500435f7b6cb714ea03ffd687,desktop,2,2,1,2_2_1_019bfef500435f7b6cb714ea03ffd687.txt,0,70,0,70,Oscars Slap,MODERATE,True,The Oscar Slap Clip shows Will Smith hitting Chris Rock on stage at the 2022 Oscars after a joke abo,1.5220057964324951,complete
019bfef500435f7b6cb714ea03ffd687,desktop,2,2,2,2_2_2_019bfef500435f7b6cb714ea03ffd687.txt,0,80,0,80,Oscars Slap,HIGH,True,The Oscar Slap Clip shows Will Smith slapping Chris Rock on stage during the 2022 Oscars after a jok,0.9064958095550537,complete
019bfef500435f7b6cb714ea03ffd687,desktop,2,3,1,2_3_1_019bfef500435f7b6cb714ea03ffd687.txt,0,0,60,60,Trump-Ukraine Meeting,MODERATE,True,The clip shows former President Trump and author Vance in the Oval Office with Ukrainian President Z,0.8479938507080078,complete
019bfef500435f7b6cb714ea03ffd687,desktop,2,3,2,2_3_2_019bfef500435f7b6cb714ea03ffd687.txt,0,0,60,60,Trump-Ukraine Meeting,MODERATE,True,The clip shows former President Trump and author Vance meeting with Ukrainian President Zelenskyy in,0.7174839973449707,complete
019bfef500435f7b6cb714ea03ffd687,desktop,3,1,1,3_1_1_019bfef500435f7b6cb714ea03ffd687.txt,80,0,0,80,Coach Carter,HIGH,True,The Coach Carter movie clip shows Coach Carter enforcing rules and motivating his team to take acade,0.7732501029968262,complete
019bfef500435f7b6cb714ea03ffd687,desktop,3,1,2,3_1_2_019bfef500435f7b6cb714ea03ffd687.txt,90,0,0,90,Coach Carter,HIGH,True,"The Coach Carter movie clip shows Coach Carter inspiring his players to take responsibility, value e",0.8749730587005615,complete
019bfef500435f7b6cb714ea03ffd687,desktop,3,2,1,3_2_1_019bfef500435f7b6cb714ea03ffd687.txt,0,80,0,80,Oscars Slap,HIGH,True,The Oscar Slap Clip shows Will Smith slapping Chris Rock on stage at the 2022 Oscars after Rock made,0.7192928791046143,complete
019bfef500435f7b6cb714ea03ffd687,desktop,3,2,2,3_2_2_019bfef500435f7b6cb714ea03ffd687.txt,0,80,0,80,Oscars Slap,HIGH,True,The Oscar Slap Clip shows Will Smith slapping Chris Rock on stage during the 2022 Oscars after a jok,0.8755619525909424,complete
019bfef500435f7b6cb714ea03ffd687,desktop,3,3,1,3_3_1_019bfef500435f7b6cb714ea03ffd687.txt,0,0,60,60,Trump-Ukraine Meeting,MODERATE,True,The Oval Office meeting clip shows former President Trump and author Vance talking with Ukrainian Pr,1.0713081359863281,complete
019bfef500435f7b6cb714ea03ffd687,desktop,3,3,2,3_3_2_019bfef500435f7b6cb714ea03ffd687.txt,0,0,60,60,Trump-Ukraine Meeting,MODERATE,True,The clip shows former President Trump and author Vance meeting with Ukrainian President Zelenskyy in,0.8029098510742188,complete
03ed26062301e1ac6bbf94f3c03a7e56,desktop,1,1,1,1_1_1_03ed26062301e1ac6bbf94f3c03a7e56.txt,90,0,0,90,Coach Carter,HIGH,True,After watching this scene gave me chill. It made me realize that sometimes we hold ourselves back no,0.8046836853027344,complete
03ed26062301e1ac6bbf94f3c03a7e56,desktop,1,1,2,1_1_2_03ed26062301e1ac6bbf94f3c03a7e56.txt,100,0,0,100,Coach Carter,HIGH,True,"It is not only just a team standing up for themselves and also its a moment of growth, unity and rea",0.9826412200927734,complete
03ed26062301e1ac6bbf94f3c03a7e56,desktop,1,2,1,1_2_1_03ed26062301e1ac6bbf94f3c03a7e56.txt,0,90,0,90,Oscars Slap,HIGH,True,"This moment felt unreal. One second it was jokes, and the next it was raw emotion spilling out on li",1.3013010025024414,complete
03ed26062301e1ac6bbf94f3c03a7e56,desktop,1,2,2,1_2_2_03ed26062301e1ac6bbf94f3c03a7e56.txt,0,80,0,80,Oscars Slap,HIGH,True,"The moment shocked everyone, it a joke turned personal and emotions boiled on live TV. It exposed th",0.9846158027648926,complete
03ed26062301e1ac6bbf94f3c03a7e56,desktop,1,3,1,1_3_1_03ed26062301e1ac6bbf94f3c03a7e56.txt,0,0,80,80,Trump-Ukraine Meeting,HIGH,True,That was intense to watch. You can feel how high the stakes are when leaders argue like that for liv,0.7747070789337158,complete
03ed26062301e1ac6bbf94f3c03a7e56,desktop,1,3,2,1_3_2_03ed26062301e1ac6bbf94f3c03a7e56.txt,0,0,80,80,Trump-Ukraine Meeting,HIGH,True,The video seems exchange showed the tension between urgency and diplomacy. Zelenskyy spoke from desp,0.8582139015197754,complete
03ed26062301e1ac6bbf94f3c03a7e56,desktop,2,1,1,2_1_1_03ed26062301e1ac6bbf94f3c03a7e56.txt,90,0,0,90,Coach Carter,HIGH,True,"That speech hit me hard. That moment was so powerful. The idea that we are not afraid of being week,",0.9912638664245605,complete
03ed26062301e1ac6bbf94f3c03a7e56,desktop,2,1,2,2_1_2_03ed26062301e1ac6bbf94f3c03a7e56.txt,80,0,0,80,Coach Carter,HIGH,True,The scene shows how the team finally understands Coach Carter's message. They are also realized thei,0.8097178936004639,complete
03ed26062301e1ac6bbf94f3c03a7e56,desktop,2,2,1,2_2_1_03ed26062301e1ac6bbf94f3c03a7e56.txt,0,80,0,80,Oscars Slap,HIGH,True,That moment seems unreal. Everyone could feel the tension shift instantly. It reminded me how unpred,0.8300268650054932,complete
03ed26062301e1ac6bbf94f3c03a7e56,desktop,2,2,2,2_2_2_03ed26062301e1ac6bbf94f3c03a7e56.txt,0,80,0,80,Oscars Slap,HIGH,True,"Will Smith's reaction shows how personal pain can erupt even in polished, professional spaces like t",0.884552001953125,complete
03ed26062301e1ac6bbf94f3c03a7e56,desktop,2,3,1,2_3_1_03ed26062301e1ac6bbf94f3c03a7e56.txt,0,0,80,80,Trump-Ukraine Meeting,HIGH,True,"Zelenskyy seemed frustrated and defensive, and the American's sounded more focused on control than e",0.9571888446807861,complete
03ed26062301e1ac6bbf94f3c03a7e56,desktop,2,3,2,2_3_2_03ed26062301e1ac6bbf94f3c03a7e56.txt,0,0,80,80,Trump-Ukraine Meeting,HIGH,True,Zelenskyy wasn't just defending Ukraine; he was pleading for dignity and exhaustion. But when diplom,0.823479175567627,complete
03ed26062301e1ac6bbf94f3c03a7e56,desktop,3,1,1,3_1_1_03ed26062301e1ac6bbf94f3c03a7e56.txt,90,0,0,90,Coach Carter,HIGH,True,The scene made me goosebumps and powerful. The way all are stood up and thanked Coach Carter.. it wa,0.8492050170898438,complete
03ed26062301e1ac6bbf94f3c03a7e56,desktop,3,1,2,3_1_2_03ed26062301e1ac6bbf94f3c03a7e56.txt,90,0,0,90,Coach Carter,HIGH,True,This scene is a turning point where the players evolve from rebellious teens into self-motivated you,1.0401289463043213,complete
03ed26062301e1ac6bbf94f3c03a7e56,desktop,3,2,1,3_2_1_03ed26062301e1ac6bbf94f3c03a7e56.txt,0,85,0,85,Oscars Slap,HIGH,True,"I still can't believe that really happened on live TV. One second it was jokes, the next it was conf",1.1344351768493652,complete
03ed26062301e1ac6bbf94f3c03a7e56,desktop,3,2,2,3_2_2_03ed26062301e1ac6bbf94f3c03a7e56.txt,0,80,0,80,Oscars Slap,HIGH,True,I didn't expect the reaction at all. It shifted the energy of the whole event in a seconds. Live TV ,0.8276271820068359,complete
03ed26062301e1ac6bbf94f3c03a7e56,desktop,3,3,1,3_3_1_03ed26062301e1ac6bbf94f3c03a7e56.txt,0,0,60,60,Trump-Ukraine Meeting,MODERATE,True,Zelenshyy is fighting for his country's survival but the way he was challenged in front of the media,0.799612283706665,complete
03ed26062301e1ac6bbf94f3c03a7e56,desktop,3,3,2,3_3_2_03ed26062301e1ac6bbf94f3c03a7e56.txt,0,0,0,0,UNKNOWN,NONE,False,"Zelenshyy spoke from the trenches, but the replies came from a room untouched by war. Until leadersh",1.3417019844055176,complete
03fa198f4c5d4d58243a0e3ae8124839,desktop,1,1,1,1_1_1_03fa198f4c5d4d58243a0e3ae8124839.txt,85,0,0,85,Coach Carter,HIGH,True,"“Coach Carter shows that true success comes from discipline, teamwork, and respect. This clip inspir",0.7358782291412354,complete
03fa198f4c5d4d58243a0e3ae8124839,desktop,1,1,2,1_1_2_03fa198f4c5d4d58243a0e3ae8124839.txt,80,0,0,80,Coach Carter,HIGH,True,"The Coach Carter movie clip shows Coach Carter enforcing strict rules, motivating his team to focus ",0.9436237812042236,complete
03fa198f4c5d4d58243a0e3ae8124839,desktop,1,2,1,1_2_1_03fa198f4c5d4d58243a0e3ae8124839.txt,0,80,0,80,Oscars Slap,HIGH,True,"“That Oscar moment was shocking and intense. It reminds everyone that even in public events, emotion",1.0258512496948242,complete
03fa198f4c5d4d58243a0e3ae8124839,desktop,1,2,2,1_2_2_03fa198f4c5d4d58243a0e3ae8124839.txt,0,80,0,80,Oscars Slap,HIGH,True,The Oscar Slap Clip shows Will Smith slapping Chris Rock on stage during the 2022 Oscars after Rock ,0.828942060470581,complete
03fa198f4c5d4d58243a0e3ae8124839,desktop,1,3,1,1_3_1_03fa198f4c5d4d58243a0e3ae8124839.txt,0,0,60,60,Trump-Ukraine Meeting,MODERATE,True,The clip shows former President Trump and author Vance meeting with Ukrainian President Zelenskyy in,1.5165398120880127,complete
03fa198f4c5d4d58243a0e3ae8124839,desktop,1,3,2,1_3_2_03fa198f4c5d4d58243a0e3ae8124839.txt,0,0,60,60,Trump-Ukraine Meeting,MODERATE,True,The clip shows former President Trump and author Vance in the Oval Office with Ukrainian President Z,0.7895259857177734,complete
03fa198f4c5d4d58243a0e3ae8124839,desktop,2,1,1,2_1_1_03fa198f4c5d4d58243a0e3ae8124839.txt,80,0,0,80,Coach Carter,HIGH,True,"“Coach Carter shows that hard work, discipline, and teamwork matter more than winning. His guidance ",0.8656511306762695,complete
03fa198f4c5d4d58243a0e3ae8124839,desktop,2,1,2,2_1_2_03fa198f4c5d4d58243a0e3ae8124839.txt,80,0,0,80,Coach Carter,HIGH,True,"The Coach Carter movie clip shows Coach Carter confronting his basketball team, enforcing academic s",0.8562748432159424,complete
03fa198f4c5d4d58243a0e3ae8124839,desktop,2,2,1,2_2_1_03fa198f4c5d4d58243a0e3ae8124839.txt,0,80,0,80,Oscars Slap,HIGH,True,"“That Oscar slap was shocking and unexpected. It reminds us that even in high-profile moments, emoti",0.7424261569976807,complete
03fa198f4c5d4d58243a0e3ae8124839,desktop,2,2,2,2_2_2_03fa198f4c5d4d58243a0e3ae8124839.txt,0,80,0,80,Oscars Slap,HIGH,True,The Oscar Slap Clip shows Will Smith slapping Chris Rock on stage at the 2022 Oscars after Rock joke,1.017157793045044,complete
03fa198f4c5d4d58243a0e3ae8124839,desktop,2,3,1,2_3_1_03fa198f4c5d4d58243a0e3ae8124839.txt,0,0,60,60,Trump-Ukraine Meeting,MODERATE,True,The clip shows former President Trump and author Vance in the Oval Office with Ukrainian President Z,0.6781470775604248,complete
03fa198f4c5d4d58243a0e3ae8124839,desktop,2,3,2,2_3_2_03fa198f4c5d4d58243a0e3ae8124839.txt,0,0,60,60,Trump-Ukraine Meeting,MODERATE,True,The Oval Office meeting clip shows former President Trump and author Vance talking with Ukrainian Pr,0.8328089714050293,complete
03fa198f4c5d4d58243a0e3ae8124839,desktop,3,1,1,3_1_1_03fa198f4c5d4d58243a0e3ae8124839.txt,80,0,0,80,Coach Carter,HIGH,True,"“  Coach  Carter  teaches that discipline, teamwork, and respect are essential. His lessons inspire ",0.8649139404296875,complete
